Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Business Class,1.0,June 2017,4.0,2.0,3.0,yes,Gatwick to Bangkok via Istanbul,5.0," |  Gatwick to Bangkok via Istanbul. The arrival experience could be stepped up slightly. There really isn't much of a welcome when you first arrive on board. It takes a while for you to be offered a drink and for a business class traveller, I didn't get any service really throughout the whole flight. There was on both legs of the flight a few moody staff members.  The seat itself is really good. Lay flat beds, however you do have to get up to allow them to put the thin mattress down, but the choice is yours. Meals are good. They are better than many other airlines I have travelled on. The only suggestion would be that the breakfast could be improved slightly. Main course and dessert are really good for airline food. I did once have a hot chocolate and that will be something I never have again. Inflight entertainment offers a limited selection. They could be more up to date movies. Wifi is a good addition too. The whole situation about not being able to take a laptop onboard from Istanbul to London was a right hassle. Chaotic and wasn't controlled well. No signage. People didn't know where they were going, didn't know they had to queue or that they had to have their bags checked again before going to the gate. Check in counter is separate for business class passengers but this is where it ends. When you get to the gateyes they call you up first. But if you are running late, there isn't a clear lane in IST for you to board.  Overall I will continue to fly Turkish Airlines as they offer a really good service for a really good price. I can let the attention they don't provide to the customers go, but it does need to be addressed. There also doesn't seem to be anything available to snack on in-between meals. I have flown with them a few times and nothing has been on show or shown in the menu.",Business,4.0,5.0
A330-300,Business Class,4.0,June 2017,3.0,4.0,5.0,yes,London Heathrow to Bangkok via Istanbul,5.0," | Flew London Heathrow to Bangkok via Istanbul. TK1980/TK0064. Decided to go with Turkish Airlines as they had a compelling offer for the holidays. Check-in at LHR was quick and efficient, priority security check provided and access to any of the Star Alliance lounges in Terminal 2 (LH, United, Singapore or Canadian or the Premium Plaza lounge which TK contracts). Boarding began a little late and started somewhat disorganised with conflicting announcements but once the gate agents got them selves sorted boarding was quick and efficient. Lunch was served on the short flight to IST, single tray with 3 options for main course. Not great but beats most airlines. Seat was fully flat and IFE was excellent although no WiFI on this flight. The cabin attendants were a bit robotic but very nice. Flight was on time in to IST and when straight to a gate. On disembarkation there was a choice for connecting flights or arrivals but it looked like they had cordoned off the connecting flight route. Turned out they wanted to see boarding passes to let you through, slightly confusing and not very intuitive. Next flight was also on time, this time there was WiFi on top of the excellent IFE and although the WiFi was slow it worked well through the flight. The cabin crew were fantastic with the attendants looking after our section coming around at the beginning of the flight to introduce herself and point out the cabin service director as well. Seats were comfortable and everything worked with the cabin clean and tidy upon boarding. Amenity kits were handed out shortly after boarding. The evening meal was served about 45 minutes after take off. The starter and desert were great but the mains were pathetic, labelled as “salad and steak” it took some searching of the salad to find the miniature piece of beef. Meals have clearly declined with TK. We were given cards to order breakfast but they were never collected and the breakfast handout was a bit random and the hot options were a bit strange but tasted ok none the less. Overall a good flight, worth recommending if the price point is right.",Couple Leisure,4.0,4.0
nan,Economy Class,4.0,August 2017,2.0,1.0,3.0,no,Brussels to Entebbe via Istanbul,3.0," |  Brussels to Entebbe via Istanbul. Our train was delayed, but we arrived at the airport 80 minutes before our scheduled flight.  The check-in area was very busy and confusing with several queues. We waited in the queue for 25 minutes to find out that we had been standing in the wrong queue, as there were two flights to Istanbul that day at similar times. We came to the check-in counter when the lady informed us that we are at the wrong counter and we are too late and check-in is already over. She then directed us to the Turkish Airline counter but he told us that he cannot help us. We pointed out that we only have two small carry-on bags and all we need is a boarding pass (and we still had 50 minutes to departure). He refused with a smirk adding that that's not his problem.  We ended up spending thousands of Euros for our new tickets, paying for a hotel, and changing the schedule of our trip and all of it was unnecessary.  We understand that there are strict airline policies and passengers need to arrive to check-in on time. All we needed was for someone to issue us tickets.",Couple Leisure,2.0,nan
nan,Economy Class,3.0,July 2017,3.0,1.0,4.0,no,Algiers to Dubai via Istanbul,2.0," |  Algiers to Dubai via Istanbul. Stsrted at the check in where I had to wait 1,5 hour in line to just drop off my bag although I had checked in online, due to slow staff, who not only took at least 10 minutes to check in a passenger but also had no idea about the seats on the plane and I was given a wrong seat in result. The flight was also delayed 60 mins.  My wife traveled the same route in August and both her flights were delayed 1 hour and she wasn't given a protective bag for the stroller although she was promised to recieve it at the plane entrance and she did not get the seat that has a child bassinet. ",Family Leisure,4.0,nan
Boeing 777,Business Class,5.0,June 2017,5.0,2.0,5.0,yes,Istanbul to Izmir,5.0," |  Turkish Airlines once again pulled off an excellent inflight service on a very short domestic flight from Istanbul to Izmir. With a flight time of only 42 minutes they still managed to serve a fully booked Business Class cabin a hot meal on real china with dessert and beverages - and all with courteous, friendly service. Most carriers in Europe and the US wouldn't offer anything on such a short route. The IFE system was of good quality, however headphones were not provided. For those that had, personal headphones worked fine. Well done, Turkish Airlines, for putting service back into airline travel!",Family Leisure,5.0,5.0
A321,Business Class,5.0,June 2017,5.0,3.0,5.0,yes,Oslo to Istanbul,3.0," |  Although the use of an older aircraft on this route was initially a disappointment (Oslo to Istanbul), I was once again pleasantly surprised by the outstanding service provided by Turkish Airlines cabin crew. The meal, drink selection, and service were excellent. Even though there was no inflight entertainment system, business class passengers were provided with their personal tablets to watch movies and listen to music. Once again - a great flight and great service on Turkish Airlines!",Family Leisure,5.0,nan
nan,Business Class,nan,July 2017,nan,1.0,nan,no,Bangkok to Tunis via Istanbul,nan," |  Bangkok to Tunis via Istanbul. Very disappointed by their online booking system. When I booked my ticket online I have choosen to pay the most expensive rate to get a flexible ticket for which I could change the date and re-issue the ticket for free. (At least that's what was written). It has to be said that I never had the possibility to choose the Class within the Business Class. Then few days later when I have requested to change the date of my return flight (bring it one day earlier) , I have been asked to pay 500€ (15% of the complete ticket value) because the fare was different.  This was never mentionned during the booking....",Business,1.0,nan
A321-200 / Boeing 777-300ER,Economy Class,5.0,July 2017,5.0,5.0,5.0,yes,Zurich to Dubai via Istanbul,3.0," |  Zurich to Dubai via Istanbul. Punctual boarding in Zurich on a clean and new looking 321-200 with winglets. Seats were black and red, very modern looking and up to date touchscreen and sound AVOD. Crew worked non stop on 2 hour 30 minute flight, excellent food and drinks, wines and spirits offered. Turkish Airlines have invested in high quality product but also have a young flight crew who work hard and have high levels of service. The connection at Istanbul was tight but worked. We were bused out in pouring rain to remote stand 777-00 and a packed flight left on time. Crew again offered good food, this time beef kofte and rice, offered spirits and wine, tirelessly worked on this night flight. ",Business,5.0,5.0
nan,Business Class,5.0,July 2017,5.0,5.0,4.0,yes,Moscow to Bangkok via Istanbul,5.0," |  Moscow to Bangkok via Istanbul. Quick and efficient check in at Vnukovo Airport. However no priority lane at the airport and very slow processing of my exit from Russia meant that I nearly missed the flight. First sector had reclining seats. Cabin service was good and the meal was good. The second sector was a week later from Istanbul to Bangkok. The check in was efficient and fast, there was a special clearance lane for Turkish Airlines passengers (different to the normal fast track for other airlines and this lane fed straight into the lounge). The plane was a little late taking off and there seemed to be no hurry with the meal service, a pity as I would rather have slept straight away and just had breakfast. The food and wine on the plane was good. The bed was comfortable and I slept well. There was a priority lane service but not used as there was no queue in Immigration.My luggage was the first off - there has been a problem where two or more sectors are flown but not on this occasion. I was happy with the service and will continue to fly Turkish airlines.",Solo Leisure,5.0,nan
nan,Economy Class,4.0,July 2017,4.0,5.0,nan,yes,Istanbul to Tel Aviv,4.0," |  Istanbul to Tel Aviv return. Quick efficient check in for both Istanbul (economy class) and Tel Aviv (business class, because I was changing to Business Class from Istanbul). The bag was priority checked through to Bangkok and was first off the flight in Bangkok. Both flights left and landed on time and a light meal served on both flights despite being only two hours long. Seats were okay and I had adequate legroom. Toilets were clean.",Solo Leisure,4.0,nan
A330,Business Class,4.0,July 2017,5.0,4.0,nan,yes,Bangkok to Istanbul,5.0," |  Bangkok to Istanbul. Business Class was great. Food was excellent, service is fine (not as good as Qatar Airways or Singapore Airlines but still very good). Business Class seats are comfortable and can be transformed in a bed. Turkish Airlines is really a great airline.",Business,5.0,nan
nan,Economy Class,3.0,July 2017,5.0,4.0,4.0,yes,Tel Aviv to Boston via Istanbul,3.0," |  Tel Aviv to Boston via Istanbul. Overall, a very good experience. Biggest negative was the very tight leg-room on the long-legs of this trip, especially since the person in front of me put their seat back as soon as we took off for the entire 10 hour trip. Big suggestion - get on the plane as soon as you can so you can store your carry-on in the overhead compartment, otherwise you are in big trouble for leg room. I felt claustrophobic on the Boston to Istanbul leg because of this issue. Felt much more comfortable on the 10+ hour Istanbul to Boston leg with my back-pack stored above me rather than under the seat in front of me. Also got a great price by ordering the ticket 4+ months in advance, though did have to pay extra for flight insurance.",Family Leisure,5.0,nan
nan,Economy Class,nan,April 2017,nan,5.0,nan,yes,Manchester to Ercan via Istanbul,nan, |  Manchester to Ercan via Istanbul. We are flying again in September and for various reasons wanted to change dates. The customer service operator was exceedingly sympathetic and helpful and while I was on the phone he exceeded my expectations and did more than I could have asked. I now have exactly what I wanted at no extra cost. We love Turkish Airlines and always use them if we can.,Couple Leisure,5.0,nan
Boeing 777-300ER,Business Class,4.0,July 2017,4.0,3.0,4.0,yes,Jakarta to Sao Paulo via Istanbul,4.0," |  Jakarta to Sao Paulo return via Istanbul with Boeing 777-300ER in Business Class. I felt that the entertainment screen is quite small, it is adequate but would be great if we could enjoy larger screen size. Food options were satisfying and presentation was nice thanks to Do&Co catering. It would be great if they offer flexibility to their pax to be able to opt to dine whenever they wish (not only in a designated meal service time). This is particularly for the red-eye flight like Sao Paulo-Istanbul which depart at 3am and a meal was served just after take off. Cabin crew polite and courteous especially Indonesian-bound flight. Lounge at Istanbul was great with many food selections but much fewer when you departing late at night. One most point that need to be improved is the boarding arrangement at the Departure Gate especially for Business Class Passengers ! There was indeed a special Line for business class pax but mostly were blocked by the long economy pax queue that we had to struggle to find the dedicated line for business class pax.",Family Leisure,4.0,5.0
nan,Economy Class,nan,August 2017,nan,4.0,nan,yes,Istanbul to Hatay,nan," |  Istanbul to Hatay. I wish to thank Turkish Airlines. I missed my plane and I couldnt catch my flight but the staff was kind enough to switch the ticket for me and help me complete my trip the same day. My flight was at 9am and it became 9pm, even if it is 12 hours later but they helped me not to suffer going back later.",Solo Leisure,3.0,nan
Boeing 777-300ER,Economy Class,2.0,July 2017,2.0,1.0,2.0,no,Los Angeles to Bucharest via Istanbul,2.0," |  Los Angeles to Bucharest via Istanbul three weeks ago. My two bags were not delivered until now. I followed all the procedures requested, I sent all the information required for identification of my bags (including their photos and the lists of properties), I sent them a lot of emails, but no one gives me any news. I am shocked by the lack of involvement of the Claim Department staff in this case. I do not recommend this company.",Solo Leisure,1.0,nan
nan,Economy Class,5.0,August 2017,5.0,5.0,5.0,yes,Chicago to Dushanbe via Istanbul,5.0," | Flying Turkish Airlines is always a good if not great experience regardless of what class you are flying. But I have to say that what distinguishes TK from any other airline I have travelled with, and I do travel a lot for both work and leisure, is the customer service. It is absolutely exceptional. I have missed my flight with a different airline twice, because of the airport I flew out of and both times Turkish airlines saved my trip! Even though they were not responsible for the problems I had in the airports or with the airlines, because my connecting flights were through Turkish Airlines they were the people that got me on the next flight in a most convenient timeframe and manner. The first time I travelled with Turkish Airlines, the representative even booked a hotel for me, because I was a college student traveling to the US for the first time and I missed my flight with a different airline because of a long customs line in the airport. Not only that but they also rebooked my three connecting flights for the next day and provided all the information I would need to have a safe comfortable stay in a strange city. Bottom line, best customer service I have ever had. Keep doing what you are doing Turkish Airlines!",Solo Leisure,5.0,5.0
nan,Economy Class,3.0,August 2017,2.0,3.0,3.0,no,Nairobi to Heathrow via Istanbul,3.0," |  Nairobi to Heathrow via Istanbul. The flight from Nairobi delayed by close to one hour and I almost missed my connecting flight to London. I was travelling with 2 suitcases both of which were missing when we got to London. One suitcase was delivered 4 days later and the other is still missing more than one week down the line. The airline does not give any updates on the progress of tracing the lost baggage and refers you to a robot site that has the same update ""tracing continues check later for updates"" for seven days. It is unfortunate I had booked a return flight, otherwise, I am not flying Turkish Airlines again!",Solo Leisure,1.0,1.0
A330,Economy Class,4.0,July 2017,4.0,1.0,5.0,yes,Amsterdam to Bangkok via Istanbul,2.0," |  Amsterdam to Bangkok via Istanbul. In Amsterdam we got an upgrade because of an overbooked plane. We received our new boarding pass for seats 6J/6K, only 15 minutes before boarding started. When we wanted to board, the scanning system told our seats were changed back to economy. According to Turkish Airlines helpdesk, this is a normal procedure. To upgrade and downgrade whenever they want. It was not Turkish Airlines mistake, but from the handling company. Also in Istanbul, staff was not friendly at all! They ran away when we wanted to ask a question about this situation.",Couple Leisure,3.0,1.0
A330,Economy Class,1.0,August 2017,3.0,1.0,3.0,yes,Istanbul to Bangkok,3.0," |  Istanbul to Bangkok. After several positive flight experiences with Turkish Airlines, my last flight from Istanbul to Bangkok was very disappointing. The flight boarded, albeit somewhat chaotically, on time. Once all passengers were on board, we waited for about 1 hour before an announcement was made that the aircraft needed to be changed due to technical problems. That in itself was not a major problem, though somewhat of an inconvenience, however attention to safety was appreciated. Once we were back in the gate boarding area, there was only one ground agent who seemed to have no idea how to cope with the situation. No announcements were made. Once a new departure time was set for 2 hours later, we boarded a new aircraft. The cabin staff seem to have been affected by all of this, as our flight was now almost 3 hours delayed. After serving the meal they were nowhere to be seen for a long time, some left with empty meal trays for 1 hour before passengers had had enough and started clearing their own trays by bringing them to the galley. I made a comment about this inconvenience to the flight purser, who told me that he would have to ""write me up"" for making a complaint about the long wait time for clearing up after the meal service. I was disappointed by this attitude and treatment. ",Family Leisure,3.0,nan
A321,Economy Class,4.0,August 2017,3.0,1.0,1.0,yes,Dalaman to Istanbul Ataturk,3.0," |  Flew Dalaman to Istanbul Ataturk. Found the Business Class check-in tucked away in the corner of a seething departure hall. Showing my Gold card, I was politely and promptly checked in. I was told where to find the CIP lounge. In there it felt more like a school playground with children running noisily around in circles. Obviously not the fault of Turkish Airlines. Slight delay in boarding as the aircraft came in late. No boarding announcements made (until I boarded at least) but people just moved forward. One lady called out something in barely audible Turkish language, but nothing in English. Before take-off they showed the safety briefing on drop-down screens. Those screens then remained down, just showing the Turkish Airlines logo, throughout the flight. In fact they were still down as we got off the plane in Istanbul. After take-off the Captain explained and apologised for the delay. We were served a warm cheese and tomato roll with soft and hot drinks. In fact identical to the snack when I flew from Istanbul a few days earlier. But it was welcome and tasty and perfectly adequate for 11.30 pm. Two very smiling and friendly flight attendants served us. As we flew in circles the Captain announced a change in runway meant a further 15 minutes delay. We finally landed - with the only occupant in the row in front of me in his seat fully reclined. After landing we were told we could use our electronic devices so I looked at the flight path we had flown. It was certainly convoluted! We were taken by bus to the domestic terminal and all in all 30 minutes delay. I have not had a delayed Turkish Airlines flight for months so not a big deal for me.",Solo Leisure,4.0,nan
nan,Economy Class,3.0,July 2017,2.0,1.0,2.0,no,Billund to Delhi via Istanbul,2.0, |  Billund to Delhi via Istanbul. On 29th July our travel from Billund via Istanbul was delayed by 24 hours due to heavy delay in first flight which resulted in missing next fligh.t We stuck at Istanbul airport with family and could not go out as we did not had working international credit card to get E-Visa. We had US Dollars in cash but there was no system at Istanbul airport to pay for E-Visa in cash. This resulted us spending 24 hours at airport with family and 1 year old baby. It was one of the worst experience we had. Ground staffs at Istanbul airport were very uncooperative. ,Family Leisure,1.0,nan
