Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A321,Economy Class,5,October 2017,2,1,nan,yes,Paris to Marseille,3," |  Paris to Marseille. Boarding was an absolute mess, with a rarely seen level of stress. Two Air France aircrafts at the same gate (F29), one to Florence supposed to leave 30 mn before the Marseille one, leaving therefore 10 mn to board to the second one. Unfortunately first boarding was delayed (due to staff at gate, a staff much more interested in preventing big cabin luggage than to speed up boarding process). Therefore stress started to grow between passengers of the second flight. It seems that staff at gate was unprepared, even after the obvious delays. They remained smiling, behind their desk, not helping the lady to security check. On board nothing important. Pilot succeeded is reducing delay on arrival.",Solo Leisure,3,nan
nan,Economy Class,5,September 2017,3,1,3,no,Cairo to Amsterdam via Paris,4," |  Cairo to Amsterdam via Paris. I had possibly my worst flight experience. At Cairo airport , the scheduled flight was boarded to depart 40 minutes past midnight. After sitting on the plane for approx. 90 minutes, announcement was made to disembark (I would add the flight had already pulled away from the gate and then returned). Anyone who has ever been to Cairo airport knows that communication is not easy in the best circumstances and no fluent English speaking staff were available. Okay, move on through security and airport terminals to locate Air France / KLM ticketing to receive new flight details and if necessary hotel accommodation. During almost 8 hours in a queue to achieve this, passengers were not given any refreshments. There was nowhere to buy anything, not even a machine. All passengers were told not to leave the queue and the reason it took nearly 8 hours for me and my travelling companion to be rerouted was because on average it took 15 minutes for every passenger to receive new tickets and where necessary a voucher. This was a debacle, no order, people pushing in airline staff running around doing nothing to help passengers but much shouting in Arabic. Naturally the connecting flight had to be rescheduled. After 10 or so hours we reached a nearby hotel and were at last able to get something to eat and a much needed sleep. ",Family Leisure,3,nan
nan,Economy Class,2,November 2016,4,1,4,no,Point-a-Pitre to Marseille via Paris,3," |  Point-a-Pitre to Marseille via Paris in 2016. This last time made me take the decision to no longer fly with them. After leaving more than 1h late from PTP we arrived in Paris when my connecting flight to Marseille already left. When I talk to the assistance (very rude) they made me feel like it was my fault if I missed the next flight and that they were making me a favor to put me on another flight - 5 hours later! Knowing that there was space on a flight earlier than that. When I asked for it, they told me ""not possible""! They prioritised other passengers from another airline (which was also late). No food/beverages vouchers offered. The flight back was ok, but flight attendants were talking in front of passengers in a very casual way. Better customer service and passenger friendly, caring staff is what they are missing.",Solo Leisure,2,nan
A320,Economy Class,3,October 2017,1,1,nan,no,Paris to Nice,2," |  I needed to change my return return flight Nice to Paris and AF at Orly told me to do it in Nice after my arrival. After queuing for over 20 minutes at the Customer Service counter, I was rudely asked 'don't you know there's no ticket office at Nice any more?'. When I replied that I had been advised to reticket here by Air France at Orly, I was asked contemptuously 'Well what do you think my job would be if I we reissued tickets here? I'd have a line of people and nothing else to do all day'. Air France poor culture of customer service never ceases to amaze me. Unfortunately I have no choice but to use them because they have a monopoly, but the airline is a disgrace. Always let down by ground staff. If I could give 0 stars in this category I would.",Business,1,nan
Boeing 777-300,Economy Class,1,October 2017,1,1,1,no,Amsterdam to Bangkok via Paris,1," |  Amsterdam to Bangkok via Paris. Very disappointed. After the flight from Amsterdam was delayed for 1h30m, we took off to Paris to transfer to the Air France flight to Bangkok, I had to run my ass off to make it just in time for boarding. Once in the plane there was a guy next to me taking up half my chair and half on the other side, cos of his huge size. After 12 painful hours I arrived in Bangkok. But my suitcase did not. It should have arrived today, but now they say it will probably be tomorrow. My holiday is on a hold right now because everything I need is in my suitcase, also this forces me to buy clothes and other things I need in daily life. There was no choice in meals. In flight entertainment seemed like it came from the stone age. And poor service on board.",Solo Leisure,1,nan
Boeing 787 / A318,Economy Class,5,September 2017,5,5,5,yes,London Heathrow to Paris,5, |  London to Paris return. No luggage and checked in online so did not experience checking at the airport. Outbound flight was a Boeing 787 so boarding took some time. Onboard seat comfort was very good as was legroom. This aircraft operates as a long haul product and I would have no issues in recommending it for a flight of this duration. Once at Paris deplaning took some time but otherwise fine. Return flight was on an A318. Online checkin again so very simple and straight forward. Not an AF issue but worthy of a mention is the lack of restaurants in CDG terminal 2E so something to bear in mind. Return flight left on time and again the seat was very comfortable and an enjoyable experience. Both flights offered a drink and quick snack which was great. Based on my experience I would choose them as a preference over BA and Lufthansa. Great flights all round.,Solo Leisure,5,5
nan,Economy Class,3,September 2017,3,1,nan,no,Paris CDG to London,3," |  I am extremely disappointed in the service I received. I flew from Paris to London on Monday, however my luggage never arrived. I immediately reported it (got my file reference) at the counter where they told me my bag would be on the next flight, and I'll have my bag the following day. Now it is 4 days later I have followed up with numerous phone calls and filled in additional forms online with absolutely no response from the airline. My luggage have still not been found. ",Couple Leisure,1,nan
nan,Economy Class,5,September 2017,3,1,nan,yes,Dublin to Paris,3," |  I was traveling from Dublin to Paris on 27th September and had a connected flight to catch. My flight from Dublin was delayed for an hour, but a crew member was so helpful, she offered me to sit at the front in order to exit the aircraft first and arranged a shortcut by an airport staff for me. I had to change terminals and in Paris Charles de Gaulle it is a hard work. I only had 50 minutes, but I made it on time, only because of herhelp. Otherwise, I would definitely miss it. She did all she could to help and supported me throughout the flight as I was quite worried - this flight was very important for me. Thanks again, to the crew on that flight.",Solo Leisure,4,nan
Boeing 787-9,Premium Economy,5,September 2017,nan,1,nan,no,Amsterdam to Cairo via Paris,3," |  Amsterdam to Caïro via Paris. The first KLM flight was delayed by over 45 minutes due to two passengers deciding not to fly and their luggage had to be off loaded, but they apparently they couldn’t find any free baggage handlers to come and do that, Captains words. Eventually it was done, But we had a very tight connection for our Air France flight in Paris to Cairo. When we arrived in Cairo it was without our luggage as they had no time to transfer it. We were told It couldn’t be sent till 24 hours later on the next flight to Cairo, but that next day we were flying to Luxor to join a Nile cruise so it was going to take a further 24 hours to get to luxor and two more days to get it on board the boat so for four of our seven day holiday we had no baggage. A week on and we are seated on board our late night flight after a long day for our departure from Cairo, we boarded AF flight at 11.50pm and sat on the plane were eventually told there was a technical issue and waited for 40 mins. The plan then pulled away from the gate stopped and then returned to the gate, after 1am we were told by the captain that the co pilot was sick and the flight was being cancelled and we had to disembark and this is where Air France Failed terribly. Things happen, However in this case, the airline still has a duty of care to passengers, Air France had no staff of their own and the debacle begins. We disembark and are told we have to go to baggage collection downstairs and retrieve our luggage. Once there after 30 minutes we were told we wouldn’t be able to retrieve our luggage till after exit visas has been cancelled and to do this we all had to go back to the boarding gate. Being so early the escalators had been shut down but after we climbed the stairs we had to sit with allot of screaming and shouting passengers whilst they found the one customs guy to cancel our exit visas One guy for over 300 passengers, he assisted many Egyptians first and those who screamed got priority and after an hour or more he penned an x across the exit visa, which I could have done myself. So back to luggage collection past 2 in the morning and told we had to go to another terminal with luggage where the Air France counter was and were told to wait in a line in front of the airfrance counter to be re-ticketed. We stood for over 6 hours till 08.10am To finally get a result. But after spending 8 hours over night, with no sleep awake for over 24hrs, standing in line with no food or drink, no opportunity to buy any, no water being offered by ground staff, I feel the duty of care Failed. This was the very worst flight experience ever, the most appalling treatment of passengers and from start to finish by an airline. We were finally put in a hotel by 9.40am 10 hours after the scheduled departure of our original",Couple Leisure,1,nan
Boeing 777-300ER,Premium Economy,2,September 2017,1,3,3,no,Atlanta to Paris,2," |  Atlanta to Paris. This was my first and last experience with Air France. The seats looked far more comfortable than they were. There was very little incline on the seats, however, the bottom of the seat moved forward a few inches. There was a foot rest on the seat and on the seat in front, which helped, but the seat is not well padded nor is there enough of an incline to allow for rest. The cabin crew was indifferent and not attentive. The big surprise was the food. I didn't make the trip for the meal, however, this was by far the worst airline food I have had. The entrees (both ways) were basically inedible. ",Couple Leisure,2,nan
Boeing 777-200,Premium Economy,5,October 2017,4,4,5,yes,Paris-Orly to Cayenne,4," |  Paris-Orly to Cayenne. Embarking procedures a bit difficult due to small embarking area in Paris Orly. In flight service very good. Meals: good quality, good wines, and staff service in premium economy area. Premium economy is appreciated for size of seats and in flight entertainment.",Business,3,nan
Boeing 777-300 / A320,Economy Class,3,October 2017,2,4,2,no,Amsterdam to Lima via Paris,3," |  Amsterdam to Lima return via Paris. First part AMS-CDG with KLM 737. Good legroom, friendly staff and good service for this short haul flight. Because it was busy in Amsterdam, flight left too late, but arrived on time. So overall good experience. Arrived in Paris at time. Unfortunately the time at the border control took very long (approx. 1 hour) so I've made it just in time to the connection flight. Second part CDG-LIM won Air France 777-300. Old plane, and so was the IFE. Seats were cramped and legroom was so so. Seat had an USB port. It was a daytime flight of 12,5 hours. After departure (which was on time) the served already the lunch. You couldn't make a choice, and there was no drink service before or a towel. After the lunch was been served we didn't see the crew anymore. If you needed a drink, you had to go the galley by yourself. There were limited snack (little ice creams and small sandwiches). An hour before arrival we got a snack (orange juice, small piece of bread and a cake). It was not much. The food tasted good. Overall I thought that the service was limited (especially if you compare it with other airlines or with partner KLM). You pay a lot of money, and therefore you don't get much service. The same features with the IFE, which had limited options and didn't work properly. So I'm not impressed with the services provided by Air France. Third part was back from LIM-CDG with AF 777-300. This plane was slightly newer, and the legroom felt better, and so were the seats. IFE was still old. This was a night flight. Service started just after departure (same as on the way to LIM only one meal option). The service on this flight was limited too. On a night flight I don't care about that, but in the night your neighbour sometimes want to pass because they wanted some water (they dont walk by once a hour). So that annoyed me. I've slept the most of the flight, despite that my neighbour wanted to pass two times. Second (breakfast) meal was not much, so also here was the service under par. Last part of the journey was CDG-AMS with AF A320. Legroom was ok, seats were good. Service was fine for this short haul flight (sandwich and drinks). I wouldn't recommend flying with AF based on my experiences. You pay a lot money for the ticket, service was limited and the quantity of the food was below par. Furthermore the IFE was old and didn't work properly. The seats are cramped and the legroom was so so. I like to fly with KLM (friendly crew and enough service), but AF is not comparable. So if I book with KLM, I check first if the flight is with them or with AF.",Solo Leisure,2,nan
A380,Economy Class,4,October 2017,3,1,4,no,Paris to San Francisco,3," |  Paris to San Francisco. Firstly I had troubles with the booking as Air France is using a system where ""Young"" (18-24) and ""Adults"" (25+) are separated. Initially I booked an adult ticket as it was not as expensive as a ticket for young adults. I searched the logic behind this and still haven't found yet - whatever, I called the customer service to help me book this ticket and I was charged 10€ for a reason that I still don't understand. During the journey, it was quite frustrating to see that Air France does not have a small Amenity kit for economy passengers. Once arrived on San Francisco I found out that my baggage was still in Paris. 48hrs after I made the reclamation, I still don't have the missing baggage and the customer service isn't answering yet. Still not have a commercial gesture but fighting for it. I'll keep you updated regarding the worst flight experience I ever had and the worst customer experience I have ever experienced!",Business,1,4
A380,Business Class,5,October 2017,3,2,2,yes,Paris CDG to New York,3," |  Paris CDG to New York. Probably, from a service standpoint, one of the best flights I have ever experienced. On-line check-in was a bit of a problem so I contacted AF via Facebook, explaining the problem. They acknowledged my message almost immediately; four hours later texted me that the issue was resolved and they had proactively checked me in. Boarding in Paris I was met with sincere smiles from all the cabin crew. Interactions were light-hearted and good humored, and cabin service was at all times professional and upbeat with an obvious desire to satisfy passengers. Crew never seemed rushed and routinely chatted with passengers. I am fortunate to be Elite Plus with SkyTeam, and was seated at the end of the cabin. As meal carts were rolled out, one flight attendant came to me and asked my dinner choice to ensure I got it. This simple and thoughtful gesture was significant because it showed attention to detail and a desire to serve. I don't like the 2x2x2 seating; video library is awkward, and food is unappealing but the empathetic service made for a wonderful flight.",Solo Leisure,5,nan
A340,Economy Class,3,October 2017,3,1,1,no,Bogota to Edinburgh via Paris CDG,3," |  Bogota to Edinburgh via Paris CDG with Air France. Simply farcical! Delayed by over 5 hours on BOG-CDG due to 2 damaged tyres when we were about to take off. Was supposed to be repaired in 60-90 mins according to captain but took close to 5 hours. Luckily I slept through most of it. A340 was old, smelly and dirty with a pathetic IFE (think old LCD screen a few inches wide) so I did not even consult. At least A340 seats are more comfortable and wider than slimline seats on newer planes. Toilets were dirty. Food was poor, saved by offer of champagne and spirits etc. Announcements in English very poor, hard to understand. This is very much a DIY airline, take your chances. Upon arriving in Paris, no assistance for onward flight despite 6 hour delay on what is already long trip. However, miseries were not over, since, due to an unexplainable problem, the CDG-EDI leg was also delayed by 1 hour! Incredibly poor management and customer experience. At least, thanks to EU laws, I am getting 600 euros of compensation for a wasted day. I imagine Air France lost a lot of money that day, and it is totally deserved.",Business,1,nan
nan,Economy Class,1,September 2017,nan,1,nan,no,Paris to Venice ,1," |  Paris to Venice . Air France didn't deliver my suitcase on time when I arrived in Italy. Nobody was able to tell me if it was a simple delay or where the suitcase was. Afterwards I discover through a colleague working at the airport in Paris that my suitcase was still in Paris. It was the first time I used the self checking at the airport, nobody was there to help me. I finally got my suitcase 3 days later.  When I got back from my vacation 3 weeks later I sent to Air France receipts to get the money back. They said I was too late. Air France offer a very bad customer service.",Couple Leisure,1,nan
Boeing 777-200ER,Economy Class,5,October 2017,5,5,5,yes,Paris CDG to Vancouver,5," |  Flew Paris CDG to Vancouver. Amazing experience, food was delicious, I did choose the risotto with mushrooms and I must say it was the best food I ever had served during a flight. They also served ice cream and water in the middle of the flight and another smaller meal before landing in Vancouver. Cabin crews were very friendly and attentive. The cabin was looking new and clean. Totally recommend flying with Air France, best European airline.",Solo Leisure,5,nan
nan,Business Class,5,October 2017,3,2,nan,yes,Dublin to Paris CDG,3," |  Flight operated by Cityjet for Air France from Dublin to Paris CDG. Outbound generally OK though lounge lacks decent food to eat. On board good service but they served ham with no other option. Cabin crew were great though and tried to give me something else to eat. Return flight from Paris with chaotic boarding. I wonder why have priority boarding if you are just going to pack all of us in like sardines into a shuttle bus to get on the plane. Defeats the purpose of paying more for business class and having priority boarding. Lounge in terminal 2E was horrible. Hardly anything substantial to eat, not even bits of sandwiches! I did notice some pot noodles (in a business class lounge) and a passenger having to get information as to where to get hot water! On board though the service was impeccable. This time they had prawns and lovely orange juice and coffee. My luggage was also delivered very quickly at Dublin airport.",Solo Leisure,3,nan
nan,Economy Class,1,October 2017,1,1,nan,no,Bengaluru to Toronto via Paris,2," |  Bengaluru to Toronto return via Paris. The crew will ignore you wherever possible, and courtesy levels will be zero. I have not had any issues during any of my 4 flights, this is just based on observance. The food quality is pathetic with few options to choose from. Most of the times the captain of the fligth just make annoucements in french and forgot to repeat it in english. When I pressed the call-the-staff button in the middle of the night for water, it stayed pressed during the whole flight and no one bothered to come over. When I went myself to take the water they informed that we are entering turbulence and if i need something i should just press the button. ",Business,1,nan
Boeing 777-300ER,Economy Class,5,July 2017,4,5,5,yes,London to Bangkok via Paris,4," | I flew with Air France from London to Bangkok via Paris Charles de Gaulle, I enjoyed both flights. Boarding was fast, flight attendants were attentive and friendly, good inflight entertainment and the food was quite nice compared to other airlines. I do travel very often and Air France is one of the best airline in Europe. Looking forward to fly with them again soon.",Solo Leisure,5,nan
Boeing 777-200ER,Economy Class,5,October 2017,5,5,5,yes,Paris to Vancouver,5, |  I did enjoy very much flying with Air France from Paris Charles de Gaulle airport to Vancouver. The aircraft looked new and the cabin was clean. Economy seat was comfortable and the entertainment screen was pretty big compared to other airlines. Food was good and a large choice of beverages were offered. Cabin crews were friendly and professional. It was a very pleasant flying with Air France.,Solo Leisure,5,nan
Boeing 777-300ER,Economy Class,4,March 2017,5,5,4,yes,Hamburg to Bangkok via Paris CDG,3," |  Hamburg to Bangkok via Paris CDG.  HAM-CDG on Inter-European route nothing expected but was pretty surprise. Flight on time but information with apologize from captain that due to European air traffic control the flight to Paris would be 30 minutes longer and the express transfers were arranged by AF at CDG for those passengers with short transit.Service on Board a tasty croissant stuffed with cheese with complimentary wine! After arrival at CDG I saw AF Ground staff at the aircraft’s gate with the “short transit” poster. It seemed that AF had arranged the express transit assistance.  CDG-BKK boarding a bit chaotic because there was no priority boarding for those passengers who sat at aft zone of aircraft and everyone wanted to board the aircraft accordingly. Therefore the aircraft gangway were blocked by passengers who seated at the front zone putting their handbags into the overhead bins. Cabin-Crews were aged but very friendly and professional, helping passenger putting their handbags into the bins to avoid the traffic jam at gangway. Flight full on Boeing 777-300 with cramped 10seats / row therefore nothing to say about the seat comfort except the small footrest. AF is one of the few airlines which provides the seat footrest for Y passengers. Flight 30 minutes delay (due to chaotic boarding?) After taken off a hot towel was given followed by beverage service with nuts. 1 hour later hot tasty dinner was served with red wine in mini bottle and other good selection of drinks. After dinner most of FAs were gone and only one FA was on duty at each galley but self-service bar with soft drinks and ice cube was open throughout the flight. Excellent IFE with wide selection of music and movies in a variety of languages but limited new movies were available. During the rest time ice cream was served by the 2 FAs who were on duty. 2 hours before landing hot towel is given and hot tasty breakfast (with no choice) was served. All in all a good experience and great value for money. I can confirm that AF is a 4 stars airline and one of European best airline in Y Class. l will definitively fly with AF again",Couple Leisure,5,nan
A320,Economy Class,5,October 2017,5,5,nan,yes,London to Paris,4," |  I’ve had a very good experience flying with Air France, during this very short flight from London to Paris (40 mins flight). Flight departed on time, cabin crews were helpful and friendly, aircraft was very clean and new. Pain au chocolat and hot beverage served for breakfast. Totally recommend flying Air France.",Business,5,nan
nan,Economy Class,3,November 2017,nan,1,nan,no,Madrid to Paris,1," |  Madrid to Paris. A few days before the flight, when I tried to check in online, I realised my tickets had ""0 pieces of luggage"" included. I went to check in at the airport and my suitcase was only 14 kgs but I had to pay 40EUR and my credit card didn't work. Staff at the counter offered no help or support.  The Air France staff at the Madrid Airport was just bad people to tell it like it is.",Solo Leisure,1,nan
A380,Business Class,3,November 2017,3,3,5,no,Paris to Johannesburg,1," |  Air France, Paris to Johannesburg - A380. To be honest I was expecting more, not much more but more. The bed (seat) does not go flat, almost but not completely flat, taking into consideration that it is an A380 and this is Air France I was disappointed. The plane took off and I had started to sleep, however the staff started changing peoples seats, upgrading other passengers and re-allocating people. The service was ok, but nothing out of this world. In the end a normal flight, not the experience that you are expecting from Air France on a long haul flight.",Business,3,2
nan,Premium Economy,2,November 2017,3,2,3,no,Shanghai to Paris,1," |  Had booked a Business Class ticket months ago to fly from Shanghai to Paris. Upon check-in I was informed I had been ‘downgraded’ to premium economy. When I enquired as to why, I was told the airline had overbooked and that I was not the only business class passenger who had been downgraded. The seat I was assigned in premium economy was the very last middle row with 4 seats and there was a partition behind separating it from economy so the seats do not recline. The entertainment screen did not work and although I had to advise a male flight attendant of the problem, it was not resolved until a few hours later after having to ask again. The headrests are convex so the neck is thrust forward. This is a very cramped premium economy class cabin and I’m an average sized person. There is a token leg rest bout the incline is minimal. The washrooms were in economy. At least the seats recline in economy. The fact of the matter is I paid for a business class ticket and was downgraded with no advance warning. I’d been traveling 12 hours prior to this flight. Shocking standard of service and I will not use this airline again.",Business,1,nan
A380,Economy Class,4,October 2017,3,5,4,yes,San Francisco to Paris,3," |  San Francisco to Paris. A decent flight but quite turbulent, my daughter became sick not long after take off, we think due to bad food In SFO. Cabin crew did what they could, the purser on board was very helpful. When we touched down a wonderful Air France employee took us by the hands and arranged medical attention for our daughter and helped us with our connecting flights, she was absolutely phenomenal! Kudos to Air France for such an employee, she should train everyone else! Daughter got medical attention and we flew onto Zurich that night, she saved our vacation. Plane was nice, flight rather turbulent but all in all we were happy.",Family Leisure,5,4
nan,Economy Class,3,September 2017,nan,1,nan,no,Frankfurt to Montpellier via Paris,3," |  Frankfurt to Montpellier via Paris. We arrived in Paris on time, however we were not able to leave the aircraft, as the passenger staircase was not the right one for our aircraft type. It took more than 25 minutes from parking to getting into the bus, which led to missing my connecting flight to Montpellier. I had to change airports (from CDG to ORY) and arrived at MPL at 1745 (instead of 1405). I claimed for compensation and received an email FROM AF that they acknowledged my claim and that they would transfer a total of 271 Euro (250 + 21 for the transfer CDG-ORY which I had to pay). Three days later another email arrived, saying that Air France made a mistake, that they were not responsible for the delay of the passenger staircase and that they would not pay the compensation or the 21 Euros for the bus to Orly. They claim that a missing staircase is an unavoidable circumstance for them, which is ridiculous, as ground handling (including the provision of the staircase) is the responsibility of the airline. Still speechless that Air France first acknowledged my claim and revoked it three days later. ",Solo Leisure,1,nan
A319,Economy Class,4,October 2017,2,4,nan,yes,Paris Orly to Toulon,3, |  Return flight from Paris Orly to Toulon. Take off at 1840 for a landing at 2000.  Ground staff service good. In flight service a beverage with small biscuit is not enough at that time. A sandwich would have been appreciated. Aircraft size okay. In flight entertainment for domestic flight would have been appreciated.,Business,2,nan
Boeing 777-200,Premium Economy,4,October 2017,4,5,4,yes,Cayenne to Paris Orly,4," |  Everything was fine for this return flight from Cayenne to Paris Orly. Aircraft on time, check in procedures OK immigration queue less than 3 minutes. We were about to embark the plane when the captain told us the aircraft was unserviceable due to technical problem. Instead of a departure on Thursday at 17:25, we took off on Saturday 02:00. Ground staff took us in charge very professionally and less than 3 hours after the captain announcement, we were at the hotel bar with nights and meals took in charge by Air France and we had new flight reservations. The flight was quiet (Take off at 0200 AM) with good inflight service.",Business,3,nan
