Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A319,Economy Class,5.0,November 2017,nan,5.0,nan,yes,Funchal to Lisbon,4.0," | Flew Funchal to Lisbon. It is always a breeze flying with easyJet, departures and arrivals are on schedule, the cabin crew are very professional and its product is very trustworthy. Many flag companies could learn from them. They are market aware and don't charge you any more or less than what they actually and ultimately deliver to you. A highly recommended low cost company.",Family Leisure,5.0,nan
nan,Economy Class,5.0,January 2018,4.0,1.0,nan,no,Bristol to Newcastle,4.0," | So when I arrived at Bristol airport I realised that my hand luggage was slightly oversized purely due to the wheels (my fault but I have used it to fly with easyJet as hand luggage before and for Jet2 as well). I queued up to speak to someone about what to do and she took a few minutes to decide but after seeing my case wouldn't fit in the example box she said not to worry, that it was ok and charged me £5 instead of £47. There were a family who were infront of us who were 70 kilos over or weighed 70 kilos so had to cough up £70 there and then, so it was like they were picking and choosing who they would charge and what. Anyway, I was so relieved and happy, got on the plane all the cabin staff were really polite, helpful, friendly and the flight was fine. However on the way home, we arrived at the airport 2 hours early, all checked in online before hand too, we went to the gate on time to get ready to board but there was a huge queue so we walked 1 minute down the airport to a loo quickly. When we got back we were at the front of the queue and there were 2 girls who were meant to check our boarding passes/ID and before even saying hello or waiting for the person infront of me to walk onwards one of the girls shouted 'can you check that case, that looks massive' then looked up and me and said 'that's going to be £47, not even a hello or a please'. I obviously said how it was okay on the way and how I'd used it before with easyJet and Jet2 and she actually said 'well you havent' and I said well I have! Was ridiculous! Then they tried to tell us we were late, when we'd been waiting for 2 hours, so rude. Anyway after looking me and my friend up and down in a judgemental rude way I told them how I don't have the money and that I think it's ridiculous I could fly with it as hand luggage for £5 on the way and now they're wanting £47! At this point everyone had boarded the plane and we were told we were about to miss it, I had to make a quick call to my gran to borrow the money as the hotel we stayed in had taken a huge deposit too and I wasn't getting that back until a few days after we left, and after typing the card details wrong 4 times into her computer the rude girl finally charged me £47 and we had to sprint to the plane. They were so rude and didn't even say hello, please or thank you at any point and set completely different rules as we had on the way. So annoyed and appalled at the rude and unfair staff. After all that the flight back was fine, just dissapointed really. Airport experience with easy jet there was 10/10, easyJet airport experience return 0/10.",Family Leisure,2.0,nan
A320,Economy Class,1.0,January 2018,nan,1.0,nan,no,Gatwick to Athens,2.0," | Gatwick to Athens. Once we got to the gate a flight attendant told us that we could not board the plane because we had 2 pieces of luggage (1 hand luggage and 1 small laptop case) and both of them were oversized. Then she explained that some policies had'changed and we do not meet the criteria or had accepted the new policies that had been sent to our email. Then we were ask to combine our luggage into 1, even though they were oversized, after 20 minutes of us trying to fit a laptop case into a very small hand-luggage, she told us that we could now board to the flight, but we had to give our hand-luggage to be stored at the bottom of the aircraft. Another 5 minutes till we had placed our luggage and we were told to follow a 'nice', ground staff, so we could hand-in our baggage and board from the back. (We were supposed to be seated at the 2nd row).",Family Leisure,1.0,nan
nan,Economy Class,nan,January 2018,nan,nan,nan,no,Stansted to Amsterdam,nan," |  Stansted to Amsterdam. We had return flights booked to Amsterdam leaving at 06.45 on 3rd January and on 2nd January at 7pm we receive a text to inform us that our flight is now cancelled and with no real reason to why. We’ve now had to spend more money on other flights from a further away airport costing us more in time and money, and at a later time when we had all travel arrangements sorted, I’m not happy.",Couple Leisure,1.0,nan
A320,Economy Class,nan,December 2017,nan,1.0,nan,no,Madrid to Gatwick,1.0," |  The four flights we took with easyjet were pretty horrible. All our flights were delayed to some technical difficulties. If you plan checking in a bag the fees on Iberia and BA are cheaper. easyJet check customers carry on to make sure it fits in the measuring box, if it doesn't be ready to pay a fee. At boarding there were no boarding groups so everyone just lines up. They don't use a jet bridge. The planes were all fairly new A321, 320 which were fine I suppose you really feel the pinch when sitting down and realizing the seat is tiny. On the flight you have a choice to buy the usual drinks and food. In all my experience was quite terrible, I will never take an easyJet flight again.",Couple Leisure,1.0,nan
A320,Economy Class,3.0,December 2017,3.0,3.0,nan,yes,Gatwick to Copenhagen,3.0," | I now avoid British Airways under Alex Cruz and this is the first time I have flown EasyJet to Copenhagen. It was broadly comparable in comfort and service, while being significantly cheaper. I'd also choose over Ryanair as the aircraft interior is less garish and there are fewer annoying announcements.",Business,4.0,nan
nan,Economy Class,1.0,December 2017,nan,1.0,nan,no,Belfast to Gatwick,3.0," |  Belfast to Gatwick. Very unprofessional staff. Before boarding the flight at the airport gate, the member of staff checking passengers in kept coughing not really covering her mouth, then handled passports and boarding passes/mobile phones with e-tickets, without using sanitizer, it felt very unhygeinic. The air hostess doing the safety demonstration burst out laughing along with the cabin manager while doing the safety demonstration, the cabin manager then hid behind a screen to avoid been seen laughing. They safety demonstration was disrupted and not completed. The staff snacked on sweets throughout the flight making announcements with a mouthful of sweets sometimes. My bag had to be moved to the overhead compartment to which the cabin manager muttered 'God not this again' before moving my bag above. The flight was also 50min delayed to which the captain said 'sorry for being a few minutes late', didn't seem to realise that 50mins late can be very disruptive for passengers.",Solo Leisure,3.0,nan
nan,Economy Class,nan,December 2017,nan,1.0,nan,no,Luton to Inverness,nan," |  Luton to Inverness. I arrived at the Luton airport at 5:50am for my 6:55am flight, which should give me plenty of time to do the check-in and security process. But the Easyjet employee at the check-in desk just printed my boarding pass wrong (only had half the barcode on it), I couldn't get through the entry gate. Therefore, I was sent back and forth between the entry gate and the check-in desk. That wrong boarding pass thing wasted me a lot of time. So not surprisingly, I missed my flight. When I spoke to one of their employees try to get my flight re-scheduled, he told me that my boarding pass was re-printed at 6:13, the gate closure was at 6:40, SO I should have made the flight. Well, I was wondering how he thought 27 mins would be enough for me to get through all the people lined up there at the security check, Not to mention that I could have plenty of time if they just didn't print my boarding pass wrong! Also he told I have to pay extra 80 pounds for a tomorrow's flight! That's outrageous, I haven't yet even asked them to refund my waste of time and my ruined trip. I had no choice but paid them the 80 pounds for the next flight. I've filed the claim on their website, hopefully I can get my refund and cover my extra day of hotel expense. ",Solo Leisure,1.0,nan
A319,Economy Class,5.0,December 2017,4.0,5.0,nan,yes,Amsterdam to Prague,4.0," |  I would really like to express my compliments to the Easyjet crew and ground staff who were on duty for the flight from Amsterdam to Prague on December 16 2017. Due to circumstances we arrived very late at the airport. If easyet would have sticked to their rules we wouldn't be allowed to board, but we were luck. We made the flight and the way we were welcomed on board was fantastic. Also the ground crew were great. The flight itself was good. Never had a bad experience, I have been flying with them a lot since 1998.",Family Leisure,5.0,nan
A320,Economy Class,4.0,February 2018,4.0,4.0,nan,yes,Tenerife South to Southend,4.0, | Flew Tenerife South to Southend. Very impressed with easyJet both outbound and return. The seat was comfortable with adequate leg room for the 4 hour journey. In-flight service was friendly and efficient and the information from the cockpit was first class. Both sectors were punctual. The food and drinks served were tasty and reasonably priced. I was very impressed overall.,Couple Leisure,4.0,nan
A320,Economy Class,4.0,February 2018,nan,4.0,nan,yes,London Southend to Malta ,4.0," | easyJet is is easily the best short-haul airline within Europe, especially as BA has cut inglight amenities without reducing their prices. We had an effortless journey from London Southend to Malta - the plane was clean and the seats comfortable enough for short journey. However it was the staff that made the difference, my partner left some duty-free a gift for his nephew in the terminal, he was a bit upset, but the cabin crew co-ordinating with the excellent and helpful Stobart Aviation ground staff managed to track it down in albeit a small terminal and retrieve it for him. This felt above and beyond and certainly more than I would have expected from an LCC. Both flights were uneventful, and we landed early on both occasions including a full 45 minute ahead of schedule on the return journey. If I was to be really picky, I would say the boarding experience could be better planned from Southend as it means standing in a cold although sheltered caged area for sometime before being allowed on to the plane and then having to go out in the open as there are no air-bridges at Southend Airport.",Couple Leisure,5.0,nan
A320 NEO,Economy Class,4.0,February 2018,nan,1.0,nan,yes,Edinburgh to Luton,3.0," |  Edinburgh to Luton, last flight of the day. The flight was delayed for over an hour but I was happy to find out that I was flying on the new A320 NEO. The cabin looks exactly like the older version of the A320, however there is almost no engine noise, which made this flight one of the most pleasant flights I've had over the last years. Overall uneventful, except for the arrival in Luton, which is another story.",Business,5.0,nan
nan,Economy Class,2.0,January 2018,1.0,4.0,1.0,no,London to Munich,1.0," | EasyJet for sure is a Low Cost Carrier. You get what you pay for. The flight from London to Munich was completely full and it’s not particularly used for business traveling. Everyone is bringing a carry on bag and the EasyJet staff are very strict about their regulations (you get what you pay), they check it at the gate. The seats are quite narrow, but I’d say for short distance flights it’s ok. Also the staff seems to be pretty young.",Solo Leisure,4.0,1.0
A340,Economy Class,1.0,August 2017,nan,1.0,nan,no,Manchester to Santorini,2.0," | Flew Manchester to Santorini. Simply put this was the worst service I have ever encountered when flying. When waiting to go home (in the hot sun with a 3 year old) we had to wait in excess of 3 hours while the airport authorities tried to get 37 volunteers not to fly. No reason, no explanation was given. Chaos ensued. No representative from the airline was present, instead, the airline left the announcement and the dealing with how to sort out frustrated, tired, ill, and angry passengers. The airport staff were poorly behaved, rude, threatening both physically and with the police. Apparently, after boarding (eventually) we were told that a member of the crew had fallen ill. This, according to many other reviews was frequently happening on this route and others. Problems occur, yes. But the lack of support and the lack of responsibility the airline took in the airport was astonishing. Compensation was offered for volunteers. But, no guarantee of a flight back within a week was given. So compensation meant nothing. Those who did choose compensation had real difficulties getting back to their connecting airports. The compensation did not cover, car parking, food, hotel accommodation etc., loss of earnings, connecting flights. easyJet simply did not handle this very well. It appears this is frequent occurrence. The airport staff told us too! I shall not fly with easyJet again. Simply put, they did not care about their customers. Proof - no apology, no announcements, and they did not have one of their staff step off the plane to come and explain. This would have helped a lot. No food or drinks on the return flight too! Rubbish. Makes Ryanair look like one of the best services!",Family Leisure,1.0,nan
Not relevant,Economy Class,1.0,February 2018,nan,1.0,nan,no,Liverpool to Madrid,1.0," |  Liverpool to Madrid. Our last experience with Easyjet has been appalling. We got our tickets a month ago but when trying to check in the night before the flight, it turned out that there are no seats left on the plane for us! We arrived super early on the day and were told that easyjet oversells the seats and that we were 'standby passangers'. We had to wait for everyone to board and for the crew to check if anyone did not arrive, leaving empty seats (empty, but paid for!). Stressing over not getting there for a close relative's birthday, the money lost that we paid for the hotel, wasted holiday day booked off work are just the beginning of it. People must know that when they think they are getting seats on the plane, they are only really getting a possibility of a seat. We were absolutely appalled with the fact that the company got paid twice for our seats (my wife sat in the place of someone who did not travel due to serious sickness discovered very recently, as his friends told her and both her and the friends of that person were disgusted that easyjet would not accept refunds but will happily pass that seat to someone else who paid the same money and should have their own seat). We don't understand why getting the ticket and seat is not treated a contract, but instead easyjet 'has the right' to cancel it last minute and tell you that you are not going on the plane for which you bought the ticket, not due to weather or technical problems but as a result of their greed. What a terrible example of customer service! It's unbelievable in 21st century and it has to change or we should all change the airline we use.",Family Leisure,1.0,nan
nan,Economy Class,nan,January 2018,nan,1.0,nan,no,Munich to Berlin,nan, |  Munich to Berlin. I missed the baggage drop cut-off by a minute and staff weren't willing to assist in any way to help us to get onto the flight. Shocking service and there is hidden costs on everything. When we went to try and get the problem solved it cost us 220 Euros just to get our flights rescheduled. We paid extra for baggage online which hasn't even left the airport which was charged from our cards.,Business,1.0,nan
nan,Economy Class,1.0,January 2018,nan,1.0,nan,no,Gatwick to Funchal,1.0, |  Gatwick to Funchal. Very poor planning. They made all passengers to queue and wait in the rain when it is 5 degree Celsius with strong winds. There is an elderly couple in their 80s in front of me who stood for over half an hour outside in the wind and rain waiting to be boarded.,Couple Leisure,1.0,nan
nan,Economy Class,4.0,August 2017,nan,1.0,nan,no,Munich to Luton,4.0," |  Munich to Luton in August 2017. Weexperienced an overnight delay which resulted in a cancellation due to lightning strike, a new aircraft was flown from Italy to fly us back to Luton. There was one ground staff dealing with departures and arrivals at Munich airport, so as you can imagine, passengers had no idea what was going on and when we would be flying, or where we would be staying over night. The second flight was delayed by a further 5 hours 44 minutes due to technical issues (confirmed in an email). According to the EU Regulation 261/2004, we were entitled to €250 per passenger due to the delay being over three hours. It took over 4 compensation claim forms for easyJet to even respond, even then saying that we were eligible for compensation and that the money would be in our account within 15 days, it wasn’t. Phoned easyJet to get an update and see what was happening. We were then told that the second flight was delayed further due to the lightning strike. Having been in contact with some passengers on the same flight, many had already received the compensation and so I proceeded to explain this to them. He then apologised and said it was an error, and the money would be in the account within 21 day, it wasn’t. Again phoned customer service to be updated, in which I was told that the second flight was a ‘gifted free transfer’, and so compensation could not be claimed. I proceeded to explain that we had been told twice previous that we would receive the compensation. I was told this was by error and that we would not be receiving anything. I then phoned back to finally resolve the issue, and having spoken to her line manager, out of courtesy we would be transferred the compensation. Whether or not we will actually receive it this time I don’t know. ",Family Leisure,1.0,nan
A319,Economy Class,4.0,December 2017,4.0,5.0,nan,yes,Geneva to Birmingham,3.0," |  Geneva to Birmingham, For a low-cost airline (given their reputation), this experience was alright. They allowed a great deal of luggage weight, for a price mind. They even offered us the chance to put our wheeled hand luggage items (of which there were many) in the hold, which was a nice touch. An even better touch was offering FREE in-flight WiFi on the return flight, although that limits you to their own website in partnership with Rakuten, so I wouldn't bother with doing anything else. Overall, this was one of the better low-cost airlines I've flown, really great value for money.",Family Leisure,5.0,3.0
Ezs1023,Economy Class,5.0,March 2018,nan,1.0,nan,no,Basel to Hamburg,2.0," |  Basel to Hamburg. Drop-in luggage. Rude staff. Got permission to get my big baggage from Hamburg with hand-free luggage. Since it was only 10kg. And said to start with, we did not want the baggage because we could easily bring it in a bag. And they said we could do the same from Basel. But they were against it and would have to pay 47 euros. If we had the bag from Hamburg we did not have that problem at all. Now we left our luggage here and took things in a bag. It was a little bit bigger than cabin luggage. And less than 10kg. Also they would have 47euro. We had no handbag on the trip.",Business,1.0,nan
nan,Economy Class,2.0,March 2018,nan,1.0,nan,no,Porto to Bristol,2.0, |  Porto to Bristol. No Communication. Flight considerably delayed not only from previous airport but the one before that. Given that Easyjet knew this they only advised this well after they asked us to go to the gate. This delay was not put up in the departures display. How inconsiderate or idle.,Family Leisure,2.0,nan
nan,Economy Class,1.0,March 2018,nan,4.0,nan,no,Bristol to Malaga,1.0," |  Bristol to Malaga. I checked on line 5 days before our departure. Unfortunately I did not realise that my son who is 4 years old was allocated a seat separated from me from the aisle. Once there, I asked the steward if there was anything he could do, since my son starting crying and was refusing to sit next to a stranger and fasten his belt. The steward told me that if I wanted that I should have checked in a month in advance (!) or pay extra! He added that the law allows them to separate the children! Well if there is any law that allows that it should clearly be changed! Thankfully other passengers offered their place and we managed to sit close, but I found this very upsetting and the steward's answer unhelpful. On our way back, at the boarding point families with young children were offered to board with priority, but then they ask us to pay extra to sit close to our children? Is this what EasyJet considers as family care? Or in our society you need to pay for everything! On their website they advertise their service where by paying you can sit close to the people you care most, and the motto is""easyjet generation"". Appaling!",Family Leisure,1.0,nan
nan,Economy Class,5.0,February 2018,nan,5.0,nan,yes,Glasgow to Malaga,3.0," |  I flew from Glasgow to Malaga with my wife on 9th January. I had been ill with influenza, but thought I had recovered sufficiently. I had not! I was taken ill on the flight and passed out. The crew were magnificent with their care of me - when I came ‘round, they were administering oxygen, water and had allayed my wife’s fears. When we reached Malaga, the paramedics were doctors etc waiting at airport and they too, provided exemplary care. Happily, I was able to continue with my holiday! I have always loved Easyjet and fly with them approximately twice each month. I would like to personally thank the crew and I am ashamed it has taken me so long to write!",Business,5.0,nan
nan,Economy Class,5.0,March 2018,nan,5.0,nan,yes,Alicante to Bristol,4.0," |  Alicante to Bristol. Cannot fault easyJet. Flight cancelled on 2 March because of the weather conditions in UK. We were put up in hotel Melia Alicante till 5 March. There were passengers of other airlines that were left to fend for themselves, not very good if you had no money. Thank you easyJet for top rate service.",Couple Leisure,5.0,nan
nan,Economy Class,3.0,March 2018,nan,1.0,nan,no,Berlin to Madrid,3.0," |  Berlin to Madrid. This company used to be very good, I always preferred to travel with them than with Ryanair, but this it's no longer like that. Yesterday, one person of the company don't let me go into the plane because I was 1 minute late. The plane was there with the stairs, but she didn't let me in. 15 minutes later the plane take off without me. I was 1 minute late but she has no humanity at all. Next time I will choose a company without robots.",Solo Leisure,1.0,nan
nan,Economy Class,1.0,March 2018,3.0,1.0,1.0,no,Geneva to London Stansted,2.0," | Flew easyJet from Geneva to London Stansted. Horrible airline, the prices are low but the service is terrible. No information given to passengers 5 min before departing, no one at the station. It is the last time I will be taking an easyJet flight! Acknowledging other prices of other airline companies, it is better to pay more, at least there will some sort of service. This company is a disaster.",Solo Leisure,4.0,1.0
nan,Economy Class,5.0,March 2018,nan,5.0,nan,yes,Belfast to Luton,4.0, |  Belfast to Luton. A fantastic airline. No fuss organised and good customer service. My partner and I had return flights from Belfast to Luton and were treated very well. The weather on the return flight was terrible and our flight was only delayed for an hour. Thanks you guys for such an easy flight.,Couple Leisure,5.0,nan
A320,Economy Class,5.0,February 2018,4.0,3.0,nan,yes,Milan Linate to Amsterdam,2.0," |  Milan Linate to Amsterdam. EasyJet again proves to be a good low-cost airline. Most easyJet-flights from Milan depart form Malpensa, 50 kms north of town, but some flights, like mine, use the much closer Linate. The boarding started early and was only delayed by late passengers. The very friendly Dutch crew was efficient. Good information from the cockpit, announcements in English, Dutch and Italian and reasonably priced drinks. Legroom so-so, but that's the LCC-style. Landed 15 mins ahead of schedule in Amsterdam. Definitely prefer easyJet over Ryanair.",Solo Leisure,4.0,nan
nan,Economy Class,5.0,February 2018,3.0,5.0,nan,yes,Southend to Alicante,3.0," |  Southend to Alicante. Flight date 26/02:18 7am. I have flown with easyJet many times but had to say the crew that catered for us on the early Alicante bound flight were extra ordinary, creating a fun atmosphere, the two hour flight just literally flew by.",Couple Leisure,5.0,nan
A320,Economy Class,4.0,July 2017,4.0,4.0,nan,yes,Pula to Hamburg,4.0, |  Pula to Hamburg. At the airport in Pula we checked in. The staff were friendly but a bit unorganized. We got our boarding passes and then we went to the gate. Our flight was on time so the boarding procedure was quick. The cabin was OK not so clean but acceptable. The seat was comfortable. I bought a sandwich that was good and fresh. With a delay we arrived in Hamburg. All in all it was a nice flight.,Family Leisure,5.0,nan
nan,Economy Class,2.0,April 2018,nan,1.0,nan,no,London to Geneva,2.0, | London to Geneva. I just want to share my experience over the past few years. During that period my flights have been delayed 8/10 times. Mostly they were evening flights and the average delay is about 90 mins. Avoid if you can. I'll never fly again with this company.,Couple Leisure,2.0,nan
nan,Economy Class,2.0,April 2018,2.0,5.0,nan,yes,Catania to Naples,4.0, | I found the Eastjet website to be clear and user-friendly. I booked a flight from Catania to Naples and was very pleased with the efficient bag-drop and friendly and helpful ground staff. Boarding was slightly delayed as two blind passengers needed assistance. I noted though that only one staff member went out of his way to help the blind passengers. Far too much hand-luggage was allowed aboard the flight and it was a concern that the cockpit door was left open for quite some time as the pilot chatted with various people. I bought a drink and the cabin crew member walked away without rendering the change. I had to call one of his colleagues and even then I was given the wrong change and had to challenge it. No apology was received. Disembarkation was quite well managed and the although there was a 40 min delay it was acceptable. Easyjet competes well with full service airlines and I shall consider flying with them again.,Solo Leisure,3.0,nan
nan,Economy Class,1.0,April 2018,1.0,1.0,1.0,no,Lisbon to Funchal,1.0," | This is more advice for fellow passengers than review since we all know how terrible this airline is. We were meant to fly from Lisbon to Funchal for our vacation, the flight was canceled, they kept us waiting for 3 hours before giving any information. They said bad weather was the cause, other flights managed to land though so this wasn’t the case, we then waited in another line for 6 hours whilst 600 people were being seen by 1 member of staff, who after getting to the help desk denied working for the airline and said she’d didnt have information for us an we should request a refund (please never do this as they aren’t liable for client care ie no money for hotels or new flight). They couldn’t put us on a flight until a week later which was past the date we flew home, we booked into a hotel for two nights after already paying in Madeira, the next flight was $500 more, after contacting them their response was the same as the help desk, no refund will be given nor will they help with accommodations, 20 of us in the same situation all receiving this outrageous information. Absolutely horrible experience cost us $1200 as result and a flat out refusal for reimbursement! Never again easyJet!",Couple Leisure,1.0,1.0
nan,Economy Class,3.0,April 2018,1.0,3.0,1.0,no,Munich to London Luton,1.0," | Munich to London. The worst airline ever. Always very late, smelly toilets, broken seats but at least employees are very polite! Very disappointed and I hope never have to travel with this terrible airline again.",Solo Leisure,1.0,1.0
nan,Economy Class,1.0,March 2018,nan,1.0,nan,no,Luton to Tel Aviv,1.0, |  Luton to Tel Aviv. I had heard bad reports about easyJet to say the least but I was prepared to give them a chance and be fair minded. On departure from Tel Aviv I was crammed into an Airport shuttle bus to take me to the plane.  My seat location on the aircraft meant that I was pushed into by crew and other passengers. On arrival at Luton I found out that they had lost their bag. No apology from easyJet whatsoever. Ground staff took their time to file a report and I used £5 of mobile phone to liase with my brother for pick up because of the mess. After six days into the trip I still don't know where my bag is or when I will get it back. Thumbs down to this unprofessional and incompetent airline.,Solo Leisure,1.0,nan
nan,Economy Class,nan,March 2018,nan,4.0,nan,no,Amsterdam to Milan Linate,nan," |  Amsterdam to Milan Linate. When I bought the ticket, it said that the departure time was 14:05. However, a day before a flight I checked-in and the time on the ticket was 16:55. I did not receive any email notifying me of the changes and I had to check airport departures to make sure which time was the right one. When I arrived to the airport, it was announced that the flight as delayed by 2 hours. It is very difficult to trust and plan when using easyJet.",Solo Leisure,3.0,nan
nan,Economy Class,5.0,March 2018,nan,5.0,nan,yes,Gatwick to Madrid,5.0, |  Gatwick to Madrid. I was so lucky to have been on board this flight with the friendliest crew I’ve met. They helped me so much with my 6 month old baby and I will never forget this. Thank you to everyone on this flight.,Family Leisure,5.0,nan
